facility_ID,subtype_code,lat,lon,equipment_groups,ScreenFreq,OGI_RS,Scenario1_RS,Scenario2_RS,Scenario3_RS,Scenario4_RS,AltFemp_Scenario1_RS,AltFemp_Scenario2_RS,AltFemp_Scenario3_RS,AltFemp_Scenario4_RS,MGLScenario1_RS,MGLScenario2_RS,MGLScenario3_RS,MGLScenario4_RS,OperatingStatus
53304,361,50.025591,-110.630668,2,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
49023,361,50.026645,-112.342108,3,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
5801,311,50.026719,-111.893422,2,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
49877,311,50.027,-111.893,4,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
51601,322,50.027465,-111.734854,1,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
40996,601,50.028458,-113.624303,3,Triannual,3,3,4,4,6,3,4,4,6,3,4,4,6,ACTIVE
41145,612,50.028866,-113.406692,2,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41178,507,50.028866,-113.406692,3,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
53247,363,50.028978,-110.788549,1,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
50168,351,50.03,-112.407,3,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
6181,311,50.030334,-111.666186,4,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,OPERATING
52024,501,50.031247,-111.775694,3,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
6474,311,50.031679,-110.610559,4,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,OPERATING
53995,311,50.031679,-110.610559,1,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
49994,361,50.032,-112.451,3,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
50022,351,50.032082,-112.276065,3,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
51018,351,50.032457,-111.943344,5,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
53548,361,50.032495,-110.747006,5,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41176,322,50.0342,-113.167,1,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41268,311,50.0342,-113.167,1,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41301,311,50.0342,-113.167,5,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
4266,311,50.035205,-112.555373,2,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41761,322,50.035741,-112.554714,2,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
53875,501,50.037159,-110.617372,5,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
50289,351,50.0373,-112.398,4,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
50376,351,50.03808,-112.364095,3,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
53797,321,50.038764,-110.588125,4,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
6000,311,50.039203,-112.022981,1,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41221,311,50.0402,-113.187,5,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
53543,621,50.040557,-110.723248,5,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
50272,351,50.0412,-112.438,1,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
50361,351,50.0419,-112.371,4,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
50349,351,50.041926,-112.371213,2,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
5992,311,50.042656,-111.918552,1,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
51805,322,50.044569,-111.829557,5,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
52084,361,50.044569,-111.829557,3,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
52097,601,50.044569,-111.829557,4,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
53854,601,50.046485,-110.623858,1,Triannual,3,3,4,4,6,3,4,4,6,3,4,4,6,ACTIVE
41095,311,50.0467,-113.204,3,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
50246,322,50.0468,-112.477,2,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
50281,621,50.0468,-112.477,5,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41021,621,50.047093,-113.556783,5,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41240,361,50.047093,-113.556783,2,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
52169,601,50.047118,-111.309443,2,Triannual,3,3,4,4,6,3,4,4,6,3,4,4,6,ACTIVE
49924,351,50.0472,-112.36,1,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
6473,311,50.048158,-110.611193,2,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,OPERATING
53867,322,50.048456,-110.595044,3,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
50576,322,50.048751,-112.036079,5,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
50635,361,50.048751,-112.036079,2,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
50086,361,50.049097,-112.232663,3,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
50290,601,50.049097,-112.232663,1,Triannual,3,3,4,4,6,3,4,4,6,3,4,4,6,ACTIVE
5875,311,50.049198,-112.444513,5,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,OPERATING
50056,361,50.049575,-112.223645,2,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
50320,601,50.049575,-112.223645,5,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
49981,361,50.049862,-112.378936,3,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
50982,351,50.0501,-112.165,4,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
6463,311,50.051048,-110.626297,1,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,OPERATING
52009,322,50.051397,-111.66279,3,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
50084,501,50.051741,-112.476157,1,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
6227,311,50.052022,-111.66279,3,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
50325,322,50.052087,-112.476157,1,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
50854,501,50.052473,-112.05815,2,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41822,351,50.0526,-112.54,1,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
42031,351,50.0531,-112.651,4,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
50160,361,50.05346,-112.469978,5,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
6184,311,50.053507,-111.610853,5,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41006,311,50.0543,-113.224,4,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41123,311,50.0551,-113.255,4,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
4187,311,50.057083,-112.542509,2,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,OPERATING
53847,363,50.057259,-110.568067,4,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
53864,363,50.057259,-110.568067,5,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
41336,311,50.0574,-113.247,4,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,ACTIVE
5946,311,50.057818,-112.058965,5,Annual,1,1,2,4,6,1,2,4,6,1,2,4,6,OPERATING
